timestamp,X,Y,Z
1764061297739,-0.159119,0.333656,9.794283
1764061297749,-0.15373,0.32722,9.801019
1764061297759,-0.155227,0.330064,9.789792
1764061297769,-0.158371,0.324525,9.777218
1764061297779,-0.166903,0.313298,9.795331
1764061297789,-0.162861,0.303569,9.786798
1764061297799,-0.157323,0.319585,9.789942
1764061297809,-0.152682,0.335752,9.785301
1764061297819,-0.165556,0.352068,9.796229
1764061297829,-0.147743,0.361049,9.802665
1764061297839,-0.159868,0.348625,9.794133
1764061297849,-0.154329,0.338895,9.801019
1764061297859,-0.154479,0.326621,9.791439
1764061297869,-0.155078,0.327669,9.794432
1764061297879,-0.151784,0.315394,9.7859
1764061297889,-0.155676,0.320633,9.787397
1764061297899,-0.151784,0.311203,9.782906
1764061297909,-0.148641,0.327818,9.79099
1764061297919,-0.153431,0.335303,9.791588
1764061297929,-0.151335,0.335153,9.794582
1764061297939,-0.152233,0.32228,9.794283
1764061297949,-0.160466,0.332459,9.782308
1764061297959,-0.16361,0.340392,9.798923
1764061297969,-0.15852,0.336949,9.788295
1764061297979,-0.150287,0.328716,9.790241
1764061297989,-0.166005,0.302072,9.792935
1764061297999,-0.159418,0.286804,9.785152
1764061298009,-0.149838,0.311203,9.799522
1764061298019,-0.166154,0.316891,9.795181
1764061298029,-0.145198,0.341141,9.798324
1764061298039,-0.163759,0.338297,9.79084
1764061298049,-0.159718,0.349074,9.797276
1764061298059,-0.155676,0.347727,9.795929
1764061298069,-0.152383,0.3368,9.789044
1764061298079,-0.147892,0.31255,9.802815
1764061298089,-0.163759,0.298928,9.788744
1764061298099,-0.152982,0.307161,9.809551
1764061298109,-0.156874,0.327519,9.775871
1764061298120,-0.157922,0.343835,9.794432
1764061298130,-0.164957,0.353116,9.801168
1764061298140,-0.165256,0.35596,9.798773
1764061298150,-0.161814,0.340093,9.808353
1764061298160,-0.170495,0.33171,9.783954
1764061298170,-0.169897,0.333806,9.812096
1764061298180,-0.17304,0.323777,9.79084
1764061298190,-0.155676,0.325274,9.793983
1764061298200,-0.167801,0.338297,9.797127
1764061298210,-0.167352,0.32213,9.777967
1764061298220,-0.169897,0.308209,9.784703
1764061298230,-0.151335,0.28845,9.77138
1764061298240,-0.18262,0.257764,9.771829
1764061298250,-0.15852,0.272733,9.772877
1764061298260,-0.162113,0.270488,9.80042
1764061298270,-0.183069,0.311502,9.762249
1764061298280,-0.163161,0.323477,9.794582
1764061298290,-0.158071,0.337698,9.796977
1764061298300,-0.188458,0.333806,9.768686
1764061298310,-0.138163,0.329315,9.80536
1764061298320,-0.203876,0.295635,9.743538
1764061298330,-0.12035,0.274379,9.807605
1764061298340,-0.189506,0.267943,9.760453
1764061298350,-0.180525,0.283211,9.803114
1764061298360,-0.12993,0.323777,9.784553
1764061298370,-0.207319,0.309257,9.792636
1764061298380,-0.143252,0.345781,9.781409
1764061298390,-0.171992,0.311053,9.804012
1764061298400,-0.174238,0.321382,9.775721
1764061298410,-0.151635,0.290396,9.789792
1764061298420,-0.173789,0.29818,9.793983
1764061298430,-0.159119,0.297581,9.78126
1764061298440,-0.177082,0.303569,9.775721
1764061298450,-0.168849,0.304617,9.783804
1764061298460,-0.159718,0.32213,9.793684
1764061298470,-0.16825,0.321681,9.797276
1764061298480,-0.179327,0.323777,9.779613
1764061298490,-0.155527,0.309856,9.802066
1764061298500,-0.165256,0.313897,9.773925
1764061298510,-0.165406,0.305365,9.7859
1764061298520,-0.168699,0.311353,9.785152
1764061298530,-0.167502,0.324076,9.78605
1764061298540,-0.166304,0.3124,9.81494
1764061298550,-0.159418,0.314197,9.768387
1764061298560,-0.174387,0.288001,9.802665
1764061298570,-0.165705,0.293689,9.785301
1764061298580,-0.173789,0.311053,9.782308
1764061298590,-0.161814,0.318089,9.803563
1764061298600,-0.156574,0.32198,9.784254
1764061298610,-0.16825,0.340542,9.793983
1764061298620,-0.164807,0.306113,9.789493
1764061298630,-0.173489,0.343835,9.789493
1764061298640,-0.162113,0.294438,9.787846
1764061298650,-0.172142,0.311053,9.788295
1764061298660,-0.164508,0.277224,9.788894
1764061298670,-0.162412,0.308808,9.768387
1764061298680,-0.167651,0.309556,9.785301
1764061298690,-0.164358,0.332159,9.78126
1764061298700,-0.167651,0.317639,9.791139
1764061298710,-0.169298,0.313598,9.779913
1764061298720,-0.17334,0.294438,9.787996
1764061298730,-0.157772,0.300276,9.778865
